Identifiant station,Nom station,Station en fonctionnement,Capacité de la station,Nombre bornettes libres,Nombre total vélos disponibles,Vélos mécaniques disponibles,Vélos électriques disponibles,Borne de paiement disponible,Retour vélib possible,Actualisation de la donnée,Coordonnées géographiques,Nom communes équipées,Code INSEE communes équipées
17044,Porte de Saint-Ouen - Bessières,OUI,42,21,3,2,1,OUI,OUI,2024-01-26T18:43:52+01:00,"48.89792240854517, 2.32851451022192",Paris,
20143,Ramponeau - Belleville,OUI,44,33,9,7,2,OUI,OUI,2024-01-26T18:44:19+01:00,"48.871031137596, 2.379056852114",Paris,
17025,Chazelles - Courcelles,OUI,35,26,5,2,3,OUI,OUI,2024-01-26T18:40:54+01:00,"48.879406604954, 2.3034455627202988",Paris,
43002,Lagny - Victor Basch,OUI,26,23,3,1,2,OUI,OUI,2024-01-26T18:44:56+01:00,"48.84884147189881, 2.426325418925233",Vincennes,
15068,Général Martial Valin - Pont du Garigliano,OUI,16,4,12,7,5,OUI,OUI,2024-01-26T18:44:12+01:00,"48.83823094269141, 2.270506024360657",Paris,
16138,Saint-Cloud - Hippodrome,OUI,30,28,1,0,1,OUI,OUI,2024-01-26T18:40:50+01:00,"48.85772148887421, 2.2549109905958176",Paris,
22207,Rond-point du Dr Albert Schweitzer,OUI,22,18,4,1,3,OUI,OUI,2024-01-26T18:43:10+01:00,"48.78980918988166, 2.3143940046429634",Bagneux,
21216,Louis Lejeune - Barbès,OUI,25,24,1,0,1,OUI,OUI,2024-01-26T18:44:10+01:00,"48.81807418981508, 2.3267009854316716",Montrouge,
7004,Raspail - Varenne,OUI,18,12,5,1,4,OUI,OUI,2024-01-26T18:40:59+01:00,"48.853147816545, 2.3263905197382",Paris,
92002,Théâtre des Amandiers - Palais des sports,OUI,23,11,10,9,1,OUI,OUI,2024-01-26T18:44:50+01:00,"48.892648526839, 2.2136941552162",Nanterre,
13030,Italie - Tolbiac,OUI,21,11,9,5,4,OUI,OUI,2024-01-26T18:43:04+01:00,"48.82557229464416, 2.3576171323657036",Paris,
31028,Raspail Barbès,OUI,28,19,8,3,5,OUI,OUI,2024-01-26T18:43:11+01:00,"48.8529945, 2.4247387",Montreuil,
19027,Serrurier,OUI,18,17,1,1,0,OUI,OUI,2024-01-26T18:43:40+01:00,"48.8804934032465, 2.39806417375803",Paris,
17048,De Toqueville - Terrasse,OUI,30,28,2,2,0,OUI,OUI,2024-01-26T18:44:48+01:00,"48.882428, 2.314002",Paris,
44017,Jules Guesde - Pont du Port à l'Anglais,OUI,30,3,25,18,7,OUI,OUI,2024-01-26T18:44:25+01:00,"48.79628807093802, 2.417212128639221",Vitry-sur-Seine,
2017,Caire - Dussoubs,OUI,40,19,20,15,5,OUI,OUI,2024-01-26T18:44:57+01:00,"48.86785342111862, 2.349364310503006",Paris,
10013,Alibert - Jemmapes,OUI,60,29,29,19,10,OUI,OUI,2024-01-26T18:41:20+01:00,"48.871044051984, 2.3661044619878",Paris,
15112,Vigée-Lebrun - Anselme Payen,OUI,24,23,1,0,1,OUI,OUI,2024-01-26T18:37:11+01:00,"48.838683941628375, 2.3110422492027287",Paris,
16118,Michel-Ange - Parent de Rosan,OUI,26,19,4,2,2,OUI,OUI,2024-01-26T18:44:55+01:00,"48.840579923690115, 2.2584119439125065",Paris,
16110,Octave Feuillet - Albéric Magnard,OUI,21,21,0,0,0,OUI,OUI,2024-01-26T18:43:52+01:00,"48.86106902949534, 2.2730283066630363",Paris,
9008,Tour d'Auvergne - Rodier,OUI,17,13,3,2,1,OUI,OUI,2024-01-26T18:43:22+01:00,"48.879161, 2.343698",Paris,
8016,Square Louis XVI,OUI,29,13,11,8,3,OUI,OUI,2024-01-26T18:41:09+01:00,"48.87320440102894, 2.323658830743138",Paris,
8103,Artois - Berri,OUI,23,20,2,1,1,OUI,OUI,2024-01-26T18:41:38+01:00,"48.87393521240818, 2.3064258322119713",Paris,
10115,Granges aux Belles,OUI,27,14,11,4,7,OUI,OUI,2024-01-26T18:44:23+01:00,"48.8761373390584, 2.3680844979417",Paris,
8048,Marceau - Chaillot,OUI,21,20,1,0,1,OUI,OUI,2024-01-26T18:40:37+01:00,"48.868834023334, 2.2986030816809",Paris,
10029,Dunkerque - Rocroy,OUI,24,17,5,0,5,OUI,OUI,2024-01-26T18:44:40+01:00,"48.880726, 2.351464",Paris,
14013,Liard - Amiral Mouchez,OUI,14,13,1,0,1,OUI,OUI,2024-01-26T18:41:57+01:00,"48.8214169, 2.342167",Paris,
5005,Gay Lussac - Saint-Jacques,OUI,24,18,5,1,4,OUI,OUI,2024-01-26T18:44:33+01:00,"48.844730256132095, 2.341923944866407",Paris,
13118,Regnault - Patay,OUI,63,5,55,52,3,OUI,OUI,2024-01-26T18:44:53+01:00,"48.82435782216384, 2.377065159380436",Paris,
10161,Gare de l'Est - Faubourg-Saint-Martin,OUI,32,6,21,16,5,OUI,OUI,2024-01-26T18:44:23+01:00,"48.875642647477, 2.3594588041306",Paris,
18111,Félix Ziem - Armand Gauthier,OUI,25,20,4,1,3,OUI,OUI,2024-01-26T18:44:57+01:00,"48.88949630486821, 2.333393658804396",Paris,
12031,Gabriel Lamé,OUI,36,3,29,19,10,OUI,OUI,2024-01-26T18:44:43+01:00,"48.8351212784276, 2.385534569621086",Paris,
9002,Abbeville - Faubourg Poissonnière,OUI,14,6,7,3,4,OUI,OUI,2024-01-26T18:44:16+01:00,"48.879223, 2.349147",Paris,
7011,Las Cases - Bourgogne,OUI,22,21,0,0,0,OUI,OUI,2024-01-26T18:43:11+01:00,"48.859091104741, 2.3185685276985",Paris,
48003,Youri Gagarine - Karl Marx,OUI,22,22,0,0,0,OUI,OUI,2024-01-26T18:35:31+01:00,"48.78448485079149, 2.35908430069685",Villejuif,
21328,Verger - Colonel Guichard,OUI,29,28,1,0,1,OUI,OUI,2024-01-26T18:43:03+01:00,"48.816376985087, 2.2670380088932",Issy-les-Moulineaux,
14002,Edgar Quinet - Raspail,OUI,46,38,7,3,4,OUI,OUI,2024-01-26T18:44:03+01:00,"48.83940266673835, 2.32971478253603",Paris,
21323,Charlot - Stade Gabriel Voisin,OUI,31,0,28,25,3,OUI,OUI,2024-01-26T18:44:20+01:00,"48.827228120536, 2.268122527474",Issy-les-Moulineaux,
9014,Faubourg Montmartre - La Fayette,OUI,35,7,10,8,2,OUI,OUI,2024-01-26T18:42:49+01:00,"48.87525454905335, 2.340853661298752",Paris,
13104,Gare d'Austerlitz - Quai Saint-Bernard,OUI,27,27,0,0,0,NON,NON,2022-01-18T22:07:57+01:00,"48.84369030864, 2.3657163977623",Paris,
43009,Place Jean-Spire-Lemaître,OUI,50,36,11,3,8,OUI,OUI,2024-01-26T18:44:34+01:00,"48.8468428626593, 2.452062070369721",Vincennes,
17040,Pereire - Ternes,OUI,48,40,7,2,5,OUI,OUI,2024-01-26T18:43:49+01:00,"48.87973954830735, 2.288012132048607",Paris,
8053,Place Georges Guillaumin,OUI,29,21,1,0,1,OUI,OUI,2024-01-26T18:44:43+01:00,"48.874750203956566, 2.301771435325988",Paris,
8009,Gare Saint-Lazare - Isly,OUI,27,1,23,18,5,OUI,OUI,2024-01-26T18:44:53+01:00,"48.874777677621296, 2.326515804784655",Paris,
9001,Bellefond - Poissonnière,OUI,17,4,11,3,8,OUI,OUI,2024-01-26T18:44:18+01:00,"48.87759897050706, 2.348463758826256",Paris,
31103,Gare Rosny-Bois-Perrier,OUI,36,8,23,6,17,OUI,OUI,2024-01-26T18:42:53+01:00,"48.88115023337061, 2.480436824262142",Rosny-sous-Bois,
17032,Jean Oestreicher - Porte de Champerret,OUI,21,15,4,2,2,OUI,OUI,2024-01-26T18:42:18+01:00,"48.88655580065981, 2.288640439510346",Paris,
17008,Porte Pouchet-Bessières,OUI,23,9,10,8,2,OUI,OUI,2024-01-26T18:44:52+01:00,"48.8978765, 2.3230632",Paris,
