Identifiant station,Nom station,Station en fonctionnement,Capacité de la station,Nombre bornettes libres,Nombre total vélos disponibles,Vélos mécaniques disponibles,Vélos électriques disponibles,Borne de paiement disponible,Retour vélib possible,Actualisation de la donnée,Coordonnées géographiques,Nom communes équipées,Code INSEE communes équipées
18028,Championnet - Vauvenargues,OUI,33,27,5,2,3,OUI,OUI,2024-01-26T18:41:12+01:00,"48.89401874744574, 2.3319872841238976",Paris,
14106,Marc Sangnier - Porte de Vanves,OUI,21,15,5,1,4,OUI,OUI,2024-01-26T18:39:42+01:00,"48.825218683556734, 2.3107116669416428",Paris,
42014,Place Marcel Cachin,OUI,32,11,20,20,0,OUI,OUI,2024-01-26T18:44:35+01:00,"48.81411442356866, 2.39090770483017",Ivry-sur-Seine,
18022,Marcadet - Barbès,OUI,37,28,7,2,5,OUI,OUI,2024-01-26T18:44:40+01:00,"48.890451120965, 2.3490573929687",Paris,
14008,Mouton Duvernet - Général Leclerc,OUI,39,37,1,0,1,OUI,OUI,2024-01-26T18:43:33+01:00,"48.831632518292565, 2.3293121159076686",Paris,
15109,Cevennes - Bergers,OUI,29,5,21,15,6,OUI,OUI,2024-01-26T18:44:54+01:00,"48.84240765130395, 2.281037718057633",Paris,
18046,Etienne Jodelle - Saint Ouen,OUI,33,28,4,1,3,OUI,OUI,2024-01-26T18:43:32+01:00,"48.88794016394694, 2.326124420314341",Paris,
21209,Molière - République,OUI,30,21,8,3,5,OUI,OUI,2024-01-26T18:40:30+01:00,"48.81111581390707, 2.3145738624448158",Montrouge,
22406,Guy Môquet - Etienne Dolet,OUI,23,11,10,3,7,OUI,OUI,2024-01-26T18:44:14+01:00,"48.81527009991819, 2.298078276995073",Malakoff,
21005,Hôtel de Ville de Boulogne Billancourt,OUI,26,17,6,5,1,OUI,OUI,2024-01-26T18:44:45+01:00,"48.83495885166784, 2.2416803240776066",Boulogne-Billancourt,
31102,Boissière - Etienne Dolet,OUI,21,15,5,2,3,OUI,OUI,2024-01-26T18:35:34+01:00,"48.876111, 2.4677312",Montreuil,
10042,Enghien - Faubourg Poissonnière,OUI,33,14,13,11,2,OUI,OUI,2024-01-26T18:41:35+01:00,"48.872420063053, 2.3483952362828",Paris,
2111,Chabanais - Petits Champs,OUI,30,21,5,2,3,OUI,OUI,2024-01-26T18:41:07+01:00,"48.86703740186721, 2.336716018617153",Paris,
17203,Place de la Porte de Champeret,OUI,28,25,3,3,0,OUI,OUI,2024-01-26T18:40:26+01:00,"48.886062068226, 2.2917001576821",Paris,
8054,Bertie Albrecht - Hoche,OUI,32,24,5,2,3,OUI,OUI,2024-01-26T18:43:40+01:00,"48.87614039826388, 2.301303138307601",Paris,
14124,David Weill - Parc Montsouris,OUI,22,18,4,0,4,OUI,OUI,2024-01-26T18:44:52+01:00,"48.821092374256104, 2.333725690841675",Paris,
14012,Sibelle - Alésia,OUI,25,15,10,5,5,OUI,OUI,2024-01-26T18:40:25+01:00,"48.826701758539215, 2.3384983465075493",Paris,
15110,Place Robert Guillemard,OUI,24,14,7,4,3,OUI,OUI,2024-01-26T18:37:27+01:00,"48.836191728066666, 2.2811267160086417",Paris,
35010,Hoche - Jean Lolive,OUI,24,17,4,0,4,OUI,OUI,2024-01-26T18:44:05+01:00,"48.89110239200789, 2.402843534946442",Pantin,
21006,Marcelin Berthelot,OUI,27,16,10,9,1,OUI,OUI,2024-01-26T18:44:35+01:00,"48.8415473058801, 2.233161628246308",Boulogne-Billancourt,
15133,Saint Lambert - Blomet,OUI,27,10,15,9,6,OUI,OUI,2024-01-26T18:43:41+01:00,"48.83659148147257, 2.2930556908249855",Paris,
21015,Nationale - Place Jules Guesde,OUI,23,2,19,11,8,OUI,OUI,2024-01-26T18:42:56+01:00,"48.82753962462998, 2.2416052222251897",Boulogne-Billancourt,
44013,Edouard Tremblay - Julian Grimaux,OUI,30,27,3,1,2,OUI,OUI,2024-01-26T18:42:20+01:00,"48.781383825117, 2.3723508417606",Vitry-sur-Seine,
15034,Lakanal - Commerce,OUI,53,29,20,19,1,OUI,OUI,2024-01-26T18:44:30+01:00,"48.84442462786544, 2.294059172272682",Paris,
20131,Repos - Cimetière du Père Lachaise,OUI,33,32,1,0,1,OUI,OUI,2024-01-26T18:44:25+01:00,"48.859358523593, 2.3896131366845",Paris,
41404,Carnot - Pâquerettes,OUI,26,3,22,18,4,OUI,OUI,2024-01-26T18:44:19+01:00,"48.79592939432515, 2.4261841177940373",Alfortville,
31008,François Debergue - Croix de Chavaux,OUI,57,45,10,4,6,OUI,OUI,2024-01-26T18:43:03+01:00,"48.857421708072074, 2.437578141689301",Montreuil,
22203,Tertres - Fontaine,OUI,28,22,3,1,2,OUI,OUI,2024-01-26T18:36:59+01:00,"48.787553654715644, 2.306235730648041",Bagneux,
44003,Gabriel Péri - Danielle Casanova,OUI,20,13,7,5,2,OUI,OUI,2024-01-26T18:37:12+01:00,"48.790114, 2.4025777",Vitry-sur-Seine,
42021,Raspail - Manufacture des Oeillets,OUI,32,3,26,18,8,OUI,OUI,2024-01-26T18:43:47+01:00,"48.8094458, 2.3903009",Ivry-sur-Seine,
48010,Karl Marx,OUI,16,11,4,3,1,OUI,OUI,2024-01-26T18:35:46+01:00,"48.784527937293184, 2.3646667979455587",Villejuif,
11030,Oberkampf - République,OUI,24,13,9,5,4,OUI,OUI,2024-01-26T18:42:43+01:00,"48.86531608707, 2.37611478491",Paris,
41202,Gare Rer de Fontenay sous Bois,OUI,61,54,7,3,4,OUI,OUI,2024-01-26T18:43:49+01:00,"48.8436279, 2.4630465",Fontenay-sous-Bois,
5106,Cujas - Saint-Michel,OUI,19,11,6,2,4,OUI,OUI,2024-01-26T18:44:44+01:00,"48.848191348584, 2.341831654854",Paris,
1119,Cossonnerie - Sébastopol,OUI,24,2,21,16,5,OUI,OUI,2024-01-26T18:44:53+01:00,"48.86132665908402, 2.349419631063938",Paris,
25003,Henri Ste-Claire Déville - Paul Héroult,OUI,24,3,20,15,5,OUI,OUI,2024-01-26T18:42:39+01:00,"48.892663, 2.172411",Rueil-Malmaison,
31708,Noisy le Sec - Jean-Baptiste Clément,OUI,22,22,0,0,0,OUI,OUI,2024-01-26T18:38:27+01:00,"48.87451538963655, 2.415283620357514",Bagnolet,
31003,Paris - Emile Zola,OUI,30,23,5,0,5,OUI,OUI,2024-01-26T18:44:01+01:00,"48.854898095789295, 2.4186685681343083",Montreuil,
35020,Marcelle - Thalie,OUI,20,18,0,0,0,OUI,OUI,2024-01-26T18:37:04+01:00,"48.8835462, 2.4137883",Pantin,
21008,Victor Hugo - Galliéni,OUI,34,6,26,22,4,OUI,OUI,2024-01-26T18:44:52+01:00,"48.83802015441127, 2.2460845112800603",Boulogne-Billancourt,
20115,Louis Lumière - Porte de Bagnolet,OUI,20,17,1,0,1,OUI,OUI,2024-01-26T18:40:33+01:00,"48.86431136000005, 2.4105210229754443",Paris,
11039,Richard Lenoir - Jean-Pierre Timbaud,OUI,36,2,26,18,8,OUI,OUI,2024-01-26T18:44:45+01:00,"48.865804276686, 2.3693370749669",Paris,
22402,Jean Jaurès - Salvador Allende,OUI,43,33,8,3,5,OUI,OUI,2024-01-26T18:44:55+01:00,"48.821475594736775, 2.3026576638221745",Malakoff,
16008,Galilée - Kléber,OUI,32,31,1,0,1,OUI,OUI,2024-01-26T18:43:06+01:00,"48.86741186571367, 2.290781380114821",Paris,
9116,Victoire - Chaussée d'Antin,OUI,24,16,6,2,4,OUI,OUI,2024-01-26T18:44:21+01:00,"48.875065791004396, 2.3316738009452824",Paris,
13050,Quai Panhard et Levassor,OUI,57,30,23,21,2,OUI,OUI,2024-01-26T18:40:49+01:00,"48.82837482809675, 2.384273745805574",Paris,
17013,Legendre - Dulong,OUI,23,14,6,2,4,OUI,OUI,2024-01-26T18:44:40+01:00,"48.885325169402904, 2.316423766314984",Paris,
11026,Chemin Vert - Saint-Maur,OUI,45,31,8,5,3,OUI,OUI,2024-01-26T18:44:53+01:00,"48.86112461407359, 2.381299026310444",Paris,
17105,Place Madeleine Daniélou,OUI,42,36,3,0,3,OUI,OUI,2024-01-26T18:44:47+01:00,"48.883498, 2.282015",Paris,
32604,Square du Théâtre du Garde-Chasse,OUI,50,50,0,0,0,OUI,OUI,2024-01-26T18:42:42+01:00,"48.881287375060616, 2.420119643211365",Les Lilas,
5012,Estrapade - Ulm,OUI,16,14,1,0,1,NON,NON,2024-01-26T18:41:55+01:00,"48.84512772828, 2.3454568170362",Paris,
19024,Botzaris - Parc des Buttes Chaumont,OUI,20,19,0,0,0,OUI,OUI,2024-01-26T18:35:29+01:00,"48.877951, 2.381464",Paris,
16038,Molitor - Chardon-Lagache,OUI,34,27,5,1,4,OUI,OUI,2024-01-26T18:44:09+01:00,"48.84520880183234, 2.2656840831041336",Paris,
41601,Général De Gaulle - Alouette,OUI,26,17,5,2,3,OUI,OUI,2024-01-26T18:44:54+01:00,"48.839109, 2.4175664",Saint-Mandé,
16108,Sablons - Georges Mandel,OUI,38,34,2,0,2,OUI,OUI,2024-01-26T18:38:38+01:00,"48.863875, 2.28189",Paris,
15021,Joseph Liouville - Croix Nivert,OUI,64,49,14,10,4,OUI,OUI,2024-01-26T18:44:57+01:00,"48.844835471244416, 2.297508493065834",Paris,
16136,Théophile Gautier - François Millet,OUI,30,20,8,4,4,OUI,OUI,2024-01-26T18:44:06+01:00,"48.85034821320644, 2.273029983043671",Paris,
9010,Rochechouart lamartine,OUI,24,15,3,0,3,OUI,OUI,2024-01-26T18:44:51+01:00,"48.876719895109, 2.344393021854",Paris,
19022,Marché Secrétan,OUI,26,10,13,4,9,OUI,OUI,2024-01-26T18:39:43+01:00,"48.88125496379482, 2.373463287949562",Paris,
18009,Jean-François Lépine - Stephenson,OUI,22,17,5,1,4,OUI,OUI,2024-01-26T18:43:45+01:00,"48.88611466796807, 2.356855627529275",Paris,
21701,Larmeroux - Baudelaire,OUI,29,21,8,2,6,OUI,OUI,2024-01-26T18:44:06+01:00,"48.816939911292, 2.2809894804846",Vanves,
11105,Parmentier - République,OUI,50,26,19,10,9,OUI,OUI,2024-01-26T18:44:44+01:00,"48.8644954, 2.3750124",Paris,
15103,Cauchy - Cévennes,OUI,51,4,43,42,1,OUI,OUI,2024-01-26T18:44:12+01:00,"48.8433725710224, 2.275132834911347",Paris,
14110,Abbé Carton - Plantes,OUI,25,24,1,1,0,OUI,OUI,2024-01-26T18:40:14+01:00,"48.827673823165846, 2.320918142795563",Paris,
20134,Lieutenant Chauré - Etienne Marey,OUI,20,19,1,0,1,OUI,OUI,2024-01-26T18:40:53+01:00,"48.86746195408435, 2.405970990657807",Paris,
17125,Marie-Georges Picquart - Pereire,OUI,32,21,7,3,4,OUI,OUI,2024-01-26T18:42:52+01:00,"48.88863669349711, 2.3111706599593163",Paris,
24001,Arche - Léonard de Vinci,OUI,28,18,7,3,4,OUI,OUI,2024-01-26T18:44:43+01:00,"48.89790972494496, 2.2383723043644914",Courbevoie,
43005,Gare RER de Vincennes,OUI,51,43,7,1,6,OUI,OUI,2024-01-26T18:44:56+01:00,"48.847563015126106, 2.433383166790009",Vincennes,
14136,Auguste Cain - Jean Moulin,OUI,40,33,4,3,1,OUI,OUI,2024-01-26T18:44:41+01:00,"48.82577028927573, 2.3210415244102482",Paris,
19032,Villette - Belleville,OUI,48,22,20,5,15,OUI,OUI,2024-01-26T18:44:41+01:00,"48.8726877314, 2.376461327076",Paris,
10014,Marseille - Beaurepaire,OUI,55,4,43,32,11,OUI,OUI,2024-01-26T18:44:12+01:00,"48.871624306962985, 2.3639265082738348",Paris,
22003,Beffroy,OUI,26,19,6,1,5,OUI,OUI,2024-01-26T18:43:20+01:00,"48.886591074488, 2.2613945603371",Neuilly-sur-Seine,
13002,Arago - Glacière,OUI,27,22,4,0,4,OUI,OUI,2024-01-26T18:43:26+01:00,"48.83486054775774, 2.3445770524322067",Paris,
11024,Mairie du 11ème,OUI,51,22,23,19,4,OUI,OUI,2024-01-26T18:44:51+01:00,"48.858925, 2.3789759",Paris,
15046,Parc Georges Brassens - Brancion,OUI,29,24,5,0,5,OUI,OUI,2024-01-26T18:43:42+01:00,"48.83227829269761, 2.3022570088505745",Paris,
22016,Charles de Gaulle - Sablonville,OUI,26,21,5,2,3,OUI,OUI,2024-01-26T18:38:06+01:00,"48.87991924860035, 2.2763770446181297",Neuilly-sur-Seine,
21301,Saint-Vincent - Verdun,OUI,34,11,21,15,6,OUI,OUI,2024-01-26T18:44:38+01:00,"48.819211549234495, 2.254007756710053",Issy-les-Moulineaux,
32302,Chemin Vert - Fraternité,OUI,20,17,2,0,2,OUI,OUI,2024-01-26T18:44:03+01:00,"48.877141208359035, 2.4461565166711807",Romainville,
42302,Aristide Briand - Gare de Bagneux,OUI,22,11,8,0,8,OUI,OUI,2024-01-26T18:44:52+01:00,"48.79387269664978, 2.321148812770844",Cachan,
11035,Parmentier - Abel Rabaud,OUI,52,45,6,4,2,OUI,OUI,2024-01-26T18:43:58+01:00,"48.86921273836114, 2.371688821240712",Paris,
9032,Mathurins - Auber,OUI,36,19,15,9,6,OUI,OUI,2024-01-26T18:44:48+01:00,"48.872988840744, 2.3294984212276",Paris,
42010,Mairie d'Ivry-sur-Seine,OUI,53,2,49,47,2,OUI,OUI,2024-01-26T18:44:35+01:00,"48.81057120969284, 2.3842826485633855",Ivry-sur-Seine,
19016,Hautpoul - Jean Jaurès,OUI,32,21,10,3,7,OUI,OUI,2024-01-26T18:43:28+01:00,"48.886393679436, 2.3865414544355",Paris,
46001,Place Paul Eluard,OUI,19,2,17,7,10,OUI,OUI,2024-01-26T18:44:39+01:00,"48.7672039733195, 2.4144977331161503",Choisy-le-Roi,
9005,Square d'Anvers,OUI,33,26,5,0,5,OUI,OUI,2024-01-26T18:43:13+01:00,"48.882633484311, 2.3448844062122",Paris,
16040,Exelmans - Michel-Ange,OUI,33,30,1,1,0,OUI,OUI,2024-01-26T18:41:09+01:00,"48.84309486651855, 2.2597770800669053",Paris,
7102,Mairie du 7ème,OUI,27,23,3,2,1,OUI,OUI,2024-01-26T18:43:20+01:00,"48.8577967, 2.3192664",Paris,
22006,Pierret - Madrid,OUI,28,15,9,5,4,OUI,OUI,2024-01-26T18:43:52+01:00,"48.882976576876565, 2.260125767248034",Neuilly-sur-Seine,
5123,Saint-Germain - Thenard,OUI,31,8,20,16,4,OUI,OUI,2024-01-26T18:43:34+01:00,"48.850571, 2.3471015",Paris,
17028,Reims - Raymond Pitet,OUI,37,23,10,1,9,OUI,OUI,2024-01-26T18:39:22+01:00,"48.8888, 2.296319",Paris,
1002,Victoria - Place du Chatelet,OUI,22,9,10,2,8,OUI,OUI,2024-01-26T18:44:11+01:00,"48.857992591527, 2.3469167947769",Paris,
19029,Seine - Flandre,OUI,19,14,4,2,2,OUI,OUI,2024-01-26T18:38:25+01:00,"48.886785741479684, 2.3746193200349808",Paris,
42504,Gare RER de Gentilly,OUI,30,27,3,1,2,OUI,OUI,2024-01-26T18:41:57+01:00,"48.814280450380224, 2.3410347104072575",Gentilly,
32003,Wilson - Métallurgie,OUI,28,14,6,1,5,OUI,OUI,2024-01-26T18:43:55+01:00,"48.909423010092326, 2.3584435880184174",Saint-Denis,
26013,Quai du docteur Dervaux,OUI,26,5,20,19,1,OUI,OUI,2024-01-26T18:42:26+01:00,"48.910482, 2.297998",Asnières-sur-Seine,
21104,Madame de Sanzillon - Mozart,OUI,22,5,15,12,3,OUI,OUI,2024-01-26T18:44:15+01:00,"48.90379820774301, 2.3187401890754704",Clichy,
20111,Villiers de l'Isle Adam - Pyrénées,OUI,20,20,0,0,0,OUI,OUI,2024-01-26T18:44:20+01:00,"48.867362, 2.396222",Paris,
11042,Grand Prieuré - Crussol,OUI,49,19,27,18,9,OUI,OUI,2024-01-26T18:44:33+01:00,"48.864660627935, 2.3692265531829",Paris,
32016,Place de la Porte de Paris,OUI,40,24,9,2,7,OUI,OUI,2024-01-26T18:37:48+01:00,"48.93009363207303, 2.3564037680625916",Saint-Denis,
8025,Miromesnil - La Boétie,OUI,35,35,0,0,0,NON,NON,2024-01-26T18:35:24+01:00,"48.873722412917, 2.3158480972052",Paris,
15201,Place Amédée Gordini - Lefebvre,OUI,38,33,3,0,3,OUI,OUI,2024-01-26T18:42:31+01:00,"48.83061737745, 2.2920634208276",Paris,
1013,Place du Palais Royal,OUI,67,67,0,0,0,NON,NON,2024-01-26T18:43:37+01:00,"48.862382970647, 2.3384822532535",Paris,
19008,Flandre - Alphonse Karr,OUI,26,15,9,5,4,OUI,OUI,2024-01-26T18:44:18+01:00,"48.89465, 2.381868",Paris,
20121,Boyer - Ménilmontant,OUI,19,0,0,0,0,NON,NON,2018-05-21T07:59:45+02:00,"48.868895162679, 2.3919824145635",Paris,
92008,Hôtel de Ville de Nanterre,OUI,38,24,13,6,7,OUI,OUI,2024-01-26T18:44:55+01:00,"48.892371898250424, 2.205548956990242",Nanterre,
19013,Laumière - Petit,OUI,34,27,6,0,6,OUI,OUI,2024-01-26T18:44:49+01:00,"48.88467368538326, 2.380039058625698",Paris,
41402,Victor Hugo - Ecoles,OUI,25,3,22,16,6,OUI,OUI,2024-01-26T18:42:25+01:00,"48.80476007936134, 2.4180373930262093",Alfortville,
42301,Gare Arcueil - Cachan,OUI,26,19,4,1,3,OUI,OUI,2024-01-26T18:42:40+01:00,"48.799824, 2.328171",Arcueil,
11036,Jules Ferry - Faubourg du Temple Paris,OUI,58,25,29,15,14,OUI,OUI,2024-01-26T18:44:51+01:00,"48.868397, 2.3678933",Paris,
42015,Place Jean Ferrat,OUI,25,18,5,3,2,OUI,OUI,2024-01-26T18:44:20+01:00,"48.8184945213025, 2.3744174838066106",Ivry-sur-Seine,
18201,Tristan Tzara -  Tchaïkovski,OUI,33,22,9,3,6,OUI,OUI,2024-01-26T18:44:04+01:00,"48.89490221746837, 2.3648490384221077",Paris,
31010,Stalingrad - Désiré Chevalier,OUI,42,36,5,2,3,OUI,OUI,2024-01-26T18:42:52+01:00,"48.85670169739857, 2.445072233676911",Montreuil,
1020,Cambon - Rivoli,OUI,40,8,26,15,11,OUI,OUI,2024-01-25T21:34:49+01:00,"48.866143390992, 2.3251800647137",Paris,
11004,Charonne - Faubourg Saint-Antoine,OUI,34,3,29,21,8,OUI,OUI,2024-01-26T18:44:34+01:00,"48.852191909696, 2.3740932717919",Paris,
8013,Marignan - Champs-Elysées,OUI,35,29,5,1,4,OUI,OUI,2024-01-26T18:44:51+01:00,"48.869495661232, 2.3066138139003",Paris,
43003,Hôpital Bégin,OUI,26,24,2,0,2,OUI,OUI,2024-01-26T18:44:45+01:00,"48.84571672113014, 2.4272462725639348",Vincennes,
23009,Anatole France - Louise Michel,OUI,50,39,9,7,2,OUI,OUI,2024-01-26T18:43:23+01:00,"48.88873214926474, 2.2881576418876652",Levallois-Perret,
7005,Raspail - Bac,OUI,52,41,8,5,3,OUI,OUI,2024-01-26T18:44:40+01:00,"48.855628721101, 2.3256602883339",Paris,
42029,Stalingrad - Germaine Tailleferre,OUI,28,23,5,1,4,OUI,OUI,2024-01-26T18:40:13+01:00,"48.80257200481316, 2.3786691203713417",Ivry-sur-Seine,
18012,Stephenson - Doudeauville,OUI,36,29,6,2,4,OUI,OUI,2024-01-26T18:40:42+01:00,"48.888537048944826, 2.3561610281467438",Paris,
8035,Bienfaisance - Place de Narvik,OUI,36,32,3,0,3,OUI,OUI,2024-01-26T18:42:32+01:00,"48.87660163459077, 2.3129771277308464",Paris,
12009,Charenton - Diderot,OUI,18,3,14,12,2,OUI,OUI,2024-01-26T18:43:58+01:00,"48.846171461187, 2.3793068155646",Paris,
26007,Square Gilbert Thomain,OUI,20,10,8,2,6,OUI,OUI,2024-01-26T18:43:12+01:00,"48.90717373809284, 2.2695400938391685",Asnières-sur-Seine,
19125,Place de l'Édit de Nantes,OUI,30,24,4,1,3,OUI,OUI,2024-01-26T18:44:03+01:00,"48.88879, 2.3785",Paris,
6013,Jacques Callot - Mazarine,OUI,28,0,26,23,3,OUI,OUI,2024-01-26T18:43:36+01:00,"48.85528017533187, 2.337574325501919",Paris,
14036,Boulard - Daguerre,OUI,45,38,6,3,3,OUI,OUI,2024-01-26T18:41:00+01:00,"48.83446472680611, 2.3293386027216907",Paris,
16111,Faustin Hélie - Desbordes-Valmore,OUI,33,27,0,0,0,OUI,OUI,2024-01-26T18:38:10+01:00,"48.859403, 2.276522",Paris,
9021,Saint Georges - d'Aumale,OUI,23,10,12,10,2,OUI,OUI,2024-01-26T18:43:56+01:00,"48.87778639599673, 2.337429821491241",Paris,
7015,Varenne,OUI,47,36,8,5,3,OUI,OUI,2024-01-26T18:43:25+01:00,"48.857202661803, 2.3152771219611",Paris,
12027,Montgallet - Charenton,OUI,16,5,9,2,7,OUI,OUI,2024-01-26T18:43:50+01:00,"48.842647778701, 2.3861649278137",Paris,
35018,Ancien Canal - Hélène Brion,OUI,23,17,5,3,2,OUI,OUI,2024-01-26T18:36:03+01:00,"48.89484799296163, 2.4188338592648506",Pantin,
32303,Gaston Roussel - Commune de Paris,OUI,30,19,11,1,10,OUI,OUI,2024-01-26T18:44:25+01:00,"48.89432034553156, 2.432552274419542",Romainville,
19005,Flandre - Riquet,OUI,21,14,6,4,2,OUI,OUI,2024-01-26T18:44:16+01:00,"48.888013281448, 2.3737595955229",Paris,
12115,Porte de Vincennes,OUI,33,27,5,1,4,OUI,OUI,2024-01-26T18:44:25+01:00,"48.846454, 2.415514",Paris,
10113,Parmentier - Hôpital Saint-Louis,OUI,43,35,6,3,3,OUI,OUI,2024-01-26T18:42:32+01:00,"48.871379874257, 2.3698963836667",Paris,
21313,Guynemer - Séverine,OUI,26,10,15,11,4,OUI,OUI,2024-01-26T18:44:37+01:00,"48.83091743371036, 2.2790706530213356",Issy-les-Moulineaux,
41606,Pasteur - Gambetta,OUI,19,14,5,0,5,OUI,OUI,2024-01-26T18:44:56+01:00,"48.84572797384512, 2.4236011505126953",Saint-Mandé,
17102,Alfred Roll - Berthier,OUI,28,10,17,9,8,OUI,OUI,2024-01-26T18:44:28+01:00,"48.887808570529, 2.3000952981763",Paris,
17011,Fragonard - Porte de Clichy,OUI,56,4,48,37,11,OUI,OUI,2024-01-26T18:44:30+01:00,"48.894155633419, 2.3143893107772",Paris,
28001,Richard Wallace - Place du 8 Mai 1945,OUI,30,24,6,5,1,OUI,OUI,2024-01-26T18:44:50+01:00,"48.87866794788021, 2.2420343756675725",Puteaux,
17045,Place des Ternes.,OUI,46,34,9,3,6,OUI,OUI,2024-01-26T18:44:50+01:00,"48.878438631226516, 2.297727763652802",Paris,
11007,Jean Macé - Faidherbe,OUI,63,12,46,35,11,OUI,OUI,2024-01-26T18:44:46+01:00,"48.85337548426, 2.3828620836139",Paris,
12013,Montgallet - Reuilly,OUI,16,5,11,8,3,OUI,OUI,2024-01-26T18:44:31+01:00,"48.844291, 2.3896481",Paris,
9101,Cadet - La Fayette,OUI,19,18,1,0,1,NON,NON,2017-12-07T12:18:58+01:00,"48.875601632672, 2.3435704037547",Paris,
14021,Place de la Porte de Châtillon,OUI,59,48,8,3,5,OUI,OUI,2024-01-26T18:44:30+01:00,"48.8242469, 2.3186306",Paris,
15025,Dupleix - du Guesclin,OUI,47,38,9,7,2,OUI,OUI,2024-01-26T18:44:34+01:00,"48.85147910413369, 2.296709530055523",Paris,
5021,Jussieu - Fossés Saint-Bernard,OUI,39,16,14,1,13,OUI,OUI,2024-01-26T18:44:52+01:00,"48.84718551002347, 2.3534858599305153",Paris,
18110,Departement - Pajol,OUI,19,15,2,1,1,OUI,OUI,2024-01-26T18:42:57+01:00,"48.886674849730184, 2.3613611608743668",Paris,
8033,Commandant Rivière,OUI,27,22,4,4,0,OUI,OUI,2024-01-26T18:40:14+01:00,"48.872933, 2.309796",Paris,
43402,Place de Verdun,OUI,40,9,29,27,2,OUI,OUI,2024-01-26T18:44:39+01:00,"48.8202823, 2.473775",Joinville-le-Pont,
16121,Jardin d'Acclimatation,OUI,33,27,4,1,3,OUI,OUI,2024-01-26T18:44:19+01:00,"48.878772242510465, 2.270772233605385",Paris,
33018,Edouard Poisson - Victor Hugo,OUI,30,15,10,0,10,OUI,OUI,2024-01-26T18:40:43+01:00,"48.91118557052621, 2.379864752692811",Aubervilliers,
15010,Square Cambronne,OUI,59,36,22,13,9,OUI,OUI,2024-01-26T18:41:55+01:00,"48.84756654526, 2.3025691509247",Paris,
21305,Place Jacques Madaule,OUI,25,6,15,10,5,OUI,OUI,2024-01-26T18:44:54+01:00,"48.823933787309, 2.2606918215752",Issy-les-Moulineaux,
33009,Félix Faure - Sadi Carnot,OUI,33,18,13,6,7,OUI,OUI,2024-01-26T18:44:15+01:00,"48.90812110228388, 2.378623187541962",Aubervilliers,
11115,Montreuil - Gonnet,OUI,24,4,19,13,6,OUI,OUI,2024-01-26T18:44:44+01:00,"48.850500564921, 2.3890856287864",Paris,
14117,Gare Montparnasse - René Mouchotte,OUI,39,21,17,9,8,OUI,OUI,2024-01-26T18:44:49+01:00,"48.83920384329242, 2.320883944630623",Paris,
23001,Paul Vaillant Couturier - Chaptal,OUI,39,28,7,0,7,OUI,OUI,2024-01-26T18:44:56+01:00,"48.893479576183, 2.2775253653526",Levallois-Perret,
25005,18 juin 1940 - Buzenval,OUI,25,20,2,0,2,OUI,OUI,2024-01-26T18:40:00+01:00,"48.868807, 2.185428",Rueil-Malmaison,
41102,Gare de Laplace,OUI,43,38,4,1,3,OUI,OUI,2024-01-26T18:40:20+01:00,"48.80893199114179, 2.3349460959434514",Arcueil,
14034,Ouest - Château,OUI,23,14,8,1,7,OUI,OUI,2024-01-26T18:44:49+01:00,"48.83617286014242, 2.319392143923804",Paris,
17037,Bayen - Pereire,OUI,22,13,8,2,6,OUI,OUI,2024-01-26T18:44:57+01:00,"48.881804409079656, 2.2921088710427284",Paris,
32010,Place aux Étoiles,OUI,40,20,17,16,1,OUI,OUI,2024-01-26T18:43:25+01:00,"48.91835629408464, 2.3523425683379173",Saint-Denis,
18141,Clignancourt - Sofia,OUI,19,12,6,1,5,OUI,OUI,2024-01-26T18:42:40+01:00,"48.88511992309783, 2.34719488842051",Paris,
16018,Flandrin - Henri Martin,OUI,18,17,1,0,1,OUI,OUI,2024-01-26T18:42:58+01:00,"48.8643275, 2.2724174",Paris,
19004,Quai de la Loire - Jean Jaurès,OUI,16,4,8,2,6,OUI,OUI,2024-01-26T18:43:44+01:00,"48.88339733854529, 2.371074522980134",Paris,
15033,Place Violet,OUI,30,23,6,4,2,OUI,OUI,2024-01-26T18:42:37+01:00,"48.84487893836502, 2.2905756533145905",Paris,
16124,Route de Sèvres - Porte de Bagatelle,OUI,66,5,60,54,6,OUI,OUI,2024-01-26T18:43:22+01:00,"48.87525984132485, 2.249415814876557",Paris,
19044,Grands Moulins de Pantin,OUI,50,41,7,5,2,OUI,OUI,2024-01-26T18:36:35+01:00,"48.89738369720229, 2.3959985375404362",Paris,
33003,Bordier - Félix Faure,OUI,48,41,5,0,5,OUI,OUI,2024-01-26T18:41:03+01:00,"48.90390751882016, 2.3830059170722966",Aubervilliers,
12201,Dugommier,OUI,53,14,36,27,9,OUI,OUI,2024-01-26T18:44:53+01:00,"48.838811048815, 2.3896577954292",Paris,
7009,Assemblée Nationale,OUI,63,51,5,2,3,OUI,OUI,2024-01-26T18:42:52+01:00,"48.861411014652, 2.3201214185208",Paris,
33001,Victor Hugo - Magasins Généraux,OUI,34,24,7,4,3,OUI,OUI,2024-01-26T18:36:46+01:00,"48.903281401126755, 2.368072383105755",Aubervilliers,
22505,Mairie de La Garenne Colombes,OUI,22,9,10,3,7,OUI,OUI,2024-01-26T18:42:51+01:00,"48.90663823468682, 2.24679596722126",La Garenne-Colombes,
